Personagem;Fala
Narrador;Antes de entrar na sala (no caminho): Mulher que estuda demais não arruma marido.
Narrador;Na sala - entrega de notas: Ela só tirou nota alta porque agradou o professor.
Stella;Dona Cláudia, a senhora tem um minuto? Eu... precisava conversar com alguém.
Dona Cláudia;Claro, Stella. Entra. Senta aqui do meu lado. O que aconteceu?
Stella;É que hoje, quando o professor Renato devolveu a prova de matemática... eu tirei dez. E aí alguns colegas começaram a falar que foi porque ele me favorece, que eu devia ter colado, que menina não tem jeito para exatas de verdade...
Dona Cláudia;Isso te machucou...
Stella;Sim. E o pior é que foi a Ana e a Júlia que falaram mais alto. Minhas amigas. Ou eu achava que eram.
Dona Cláudia;Dói diferente quando vem de outras meninas, não é?
Stella;É. Eu fiquei pensando... será que elas têm razão? Será que eu realmente não mereço?
Dona Cláudia;Stella, olha pra mim. Você estudou para essa prova?
Stella;Três dias seguidos.
Dona Cláudia;Então a nota é sua. Ponto final. O que elas disseram não tem nada a ver com a sua competência, tem a ver com algo que elas aprenderam a acreditar, e que provavelmente ninguém nunca questionou com elas.
Stella;Como assim?
Dona Cláudia;Existe uma ideia muito antiga, muito errada, de que certas áreas "não são para mulheres". Exatas, liderança, destaque público. Quando você se sai bem nessas áreas, algumas pessoas, inclusive outras mulheres, ficam desconfortáveis. Não porque você fez algo errado, mas porque você quebrou um padrão que elas internalizaram como verdade.
Stella;Mas por que elas fariam isso com outra menina?
Dona Cláudia;Porque ninguém nasce misógino. A gente aprende. A Ana e a Júlia provavelmente ouviram esse tipo de coisa em casa, na mídia, nas redes sociais — e repetem sem perceber que estão se machucando também. Quando elas diminuem você por ser boa em matemática, elas estão dizendo, no fundo, que elas mesmas não têm esse direito.
Stella;Eu nunca tinha pensado assim.
Dona Cláudia;Isso não significa que o que elas fizeram está certo. Está errado, e machucou você de verdade. Mas entender a raiz ajuda a não carregar aquilo como se fosse uma verdade sobre quem você é.
Stella;A senhora acha que eu devo falar com elas?
Dona Cláudia;Só você sabe se tem energia e vontade para isso agora. Se quiser, posso te ajudar a pensar em como essa conversa poderia ser. Mas antes de qualquer coisa, você quer que eu leve isso para a coordenação? O que aconteceu hoje foi um episódio de bullying, e a escola precisa saber.
Stella;Eu não quero criar confusão...
Dona Cláudia;Stella, você não vai criar confusão. Você vai nomear algo que aconteceu. Existe uma diferença enorme entre essas duas coisas. Mas a decisão é sua, e eu respeito qualquer escolha que você fizer agora. O que não vou fazer é fingir que não soube.
Stella;Tá bom. Pode levar. Acho que... acho que outras meninas também já passaram por isso com elas.
Dona Cláudia;Você está sendo muito corajosa. E Stella, guarda bem essa nota dez. Não para provar nada para ninguém. Para lembrar, nos dias difíceis, do que você é capaz quando se dedica.
Stella;Obrigada, Dona Cláudia.
Dona Cláudia;Obrigada por ter confiado em mim. Agora vai tomar uma água, respirar. Estou aqui se precisar de mais alguma coisa.
